Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
1256.64,1996.34,93.6,0.0214777,0.287084,0.0553304,1334.62,73.845
1256.64,1998.67,94.25,0.0215601,0.287553,0.0558802,1331.65,74.413
1256.64,2000.99,94.24,0.0216522,0.288092,0.0562706,1328.44,74.7521
1256.64,2003.32,94.1,0.0217581,0.288691,0.0568533,1324.68,75.3123
1256.64,2005.64,94.02,0.0218883,0.289422,0.0577125,1320.07,76.1845
1256.64,2007.97,94.21,0.0220145,0.290129,0.0586489,1315.64,77.1609
1256.64,2010.29,94.35,0.0221493,0.290892,0.0595659,1311,78.0908
1256.64,2012.62,94.37,0.0222419,0.29141,0.0602871,1307.81,78.844
1256.64,2014.94,94.74,0.0223223,0.291842,0.061024,1304.97,79.6345
1256.64,2017.27,94.58,0.0224061,0.292313,0.0614362,1302.15,79.9995
1256.64,2019.59,94.41,0.0224753,0.292691,0.0620357,1299.78,80.6329
1256.64,2021.92,94.43,0.0225737,0.293217,0.0629131,1296.37,81.5586
1256.64,2024.24,94.56,0.022679,0.293799,0.0637603,1292.84,82.4319
1256.64,2026.57,94.37,0.0227804,0.294352,0.0644044,1289.46,83.0466
1256.64,2028.89,93.96,0.0228933,0.294973,0.064978,1285.76,83.5458
1256.64,2031.22,93.5,0.0229907,0.295507,0.0655552,1282.58,84.0798
1256.64,2033.54,94.66,0.0230935,0.296052,0.0665393,1279.14,85.1133
1256.64,2035.87,95.51,0.0231897,0.296567,0.0672566,1275.99,85.8188
1256.64,2038.19,95.56,0.0232858,0.297085,0.0680351,1272.88,86.6006
1256.64,2040.52,95.12,0.0233895,0.297627,0.0688263,1269.48,87.3734
1256.64,2042.84,94.9,0.0235039,0.298232,0.0696134,1265.8,88.1167
1256.64,2045.17,94.93,0.0236157,0.298834,0.0704033,1262.28,88.8685
1256.64,2047.49,94.86,0.0237264,0.299417,0.0712568,1258.77,89.6956
1256.64,2049.82,94.74,0.0238539,0.300072,0.0724409,1254.67,90.8897
1256.64,2052.14,95.04,0.0239984,0.300819,0.0735357,1250.12,91.9286
1256.64,2054.47,94.65,0.0241578,0.301638,0.0746946,1245.14,93.0055
1256.64,2056.79,94.8,0.0243277,0.302529,0.0759152,1239.99,94.1341
1256.64,2059.12,95.04,0.0244795,0.303311,0.0770865,1235.38,95.2309
1256.64,2061.44,94.61,0.0246406,0.304112,0.0785643,1230.4,96.6656
1256.64,2063.77,95.07,0.0248162,0.305015,0.079929,1225.19,97.928
1256.64,2066.09,95.05,0.0249693,0.305779,0.0811037,1220.61,98.9961
1256.64,2068.42,94.8,0.0251355,0.306603,0.0825031,1215.67,100.296
1256.64,2070.74,95.38,0.0253071,0.307443,0.084135,1210.57,101.852
1256.64,2073.07,95.09,0.0254865,0.308329,0.0855758,1205.37,103.15
1256.64,2075.39,95.16,0.0256939,0.309359,0.0870606,1199.48,104.427
1256.64,2077.72,95.64,0.0258778,0.310243,0.0886883,1194.19,105.911
1256.64,2080.04,95.22,0.0260858,0.311245,0.0903653,1188.32,107.383
1256.64,2082.37,95.61,0.0263038,0.312311,0.0919844,1182.33,108.756
1256.64,2084.69,95.83,0.0264965,0.313222,0.0937472,1176.96,110.337
1256.64,2087.02,95.49,0.0267206,0.314276,0.0955951,1170.82,111.924
1256.64,2089.34,96.06,0.0269314,0.31527,0.0973509,1165.13,113.427
1256.64,2091.67,95.97,0.0271355,0.316207,0.0992351,1159.59,115.072
